State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Peer-to-peer payments,666995,2153786523
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Merchant payments,631443,316510115.8
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Recharge & bill payments,509971,224246669.8
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Financial Services,2453,1683959.51
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Others,6929,4283833.187
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Recharge & bill payments,525974,178877986.7
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Peer-to-peer payments,323909,1052118443
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Merchant payments,118801,68938500.71
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Financial Services,1826,993268.2972
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Others,2642,1448254.787
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Recharge & bill payments,455603,201223380.2
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Peer-to-peer payments,419524,1401020928
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Merchant payments,257572,143497844.5
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Financial Services,1635,1778864.012
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Others,3978,2268098.078
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Recharge & bill payments,407577,153340696.3
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Peer-to-peer payments,329005,1119439490
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Merchant payments,137040,66713356.8
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Financial Services,668,418783.1261
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Others,4289,2851043.564
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Merchant payments,2013673,1058989463
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Peer-to-peer payments,1577168,4202291072
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Recharge & bill payments,551618,294991582.2
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Financial Services,2909,3159306.418
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Others,11717,6407962.869
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Peer-to-peer payments,843550,2512913026
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Merchant payments,802899,430487473.9
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Recharge & bill payments,471136,208762964
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Financial Services,1826,1763792.651
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Others,5672,3741204.398
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Merchant payments,1312241,706774071.9
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Peer-to-peer payments,1262732,3339347400
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Recharge & bill payments,544322,253199754.9
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Financial Services,2065,2252116.636
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Others,8110,4365759.278
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Peer-to-peer payments,768921,2379220756
