State,Year,Quarter,brands,Count,Percentage
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Vivo,71995,0.242821922
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Xiaomi,68314,0.230406789
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Samsung,50714,0.171046197
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Oppo,36932,0.124562806
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Realme,20993,0.07080437
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Apple,5335,0.017993679
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Motorola,4712,0.015892449
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Huawei,4635,0.015632747
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Lenovo,4516,0.015231388
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,OnePlus,3173,0.01070177
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Others,25174,0.084905883
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Xiaomi,58073,0.237212741
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Vivo,56525,0.230889573
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Samsung,42346,0.172972134
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Oppo,29921,0.122219318
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Realme,16175,0.066070568
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Apple,4502,0.018389471
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Motorola,4308,0.017597033
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Lenovo,4157,0.016980238
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Huawei,4069,0.016620781
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,OnePlus,2817,0.011506695
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Others,21921,0.089541448
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Vivo,63527,0.237088816
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Xiaomi,62612,0.233673949
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Samsung,46194,0.172400409
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Oppo,33220,0.123980205
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Realme,18327,0.06839811
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Apple,4852,0.018108126
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Motorola,4473,0.016693662
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Huawei,4325,0.016141312
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Lenovo,4294,0.016025617
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,OnePlus,2971,0.011088055
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Others,23151,0.086401738
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Xiaomi,52683,0.241116542
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Vivo,48874,0.223683729
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Samsung,38134,0.174529511
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Oppo,26282,0.120285955
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Realme,13927,0.063740297
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Apple,4178,0.019121632
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Motorola,4028,0.01843512
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Lenovo,3944,0.018050674
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Huawei,3732,0.017080404
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,OnePlus,2682,0.012274824
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Others,20032,0.091681312
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Vivo,104203,0.261184621
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Xiaomi,85964,0.215468602
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Samsung,61231,0.153475385
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Oppo,50155,0.125713412
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Realme,39211,0.098282297
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Apple,7542,0.018904009
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Tecno,6955,0.017432694
