,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_type
0,Andaman & Nicobar,2018,1,north and middle andaman district,442,931663.0771,TOTAL
1,Andaman & Nicobar,2018,1,south andaman district,5688,12560249.34,TOTAL
2,Andaman & Nicobar,2018,1,nicobars district,528,1139848.801,TOTAL
3,Andaman & Nicobar,2018,2,north and middle andaman district,825,1317863.083,TOTAL
4,Andaman & Nicobar,2018,2,south andaman district,9395,23948235.52,TOTAL
5,Andaman & Nicobar,2018,2,nicobars district,1120,3072436.908,TOTAL
6,Andaman & Nicobar,2018,3,north and middle andaman district,1283,4901529.518,TOTAL
7,Andaman & Nicobar,2018,3,south andaman district,13511,44268112.46,TOTAL
8,Andaman & Nicobar,2018,3,nicobars district,1471,6387829.152,TOTAL
9,Andaman & Nicobar,2018,4,north and middle andaman district,2137,7955635.918,TOTAL
10,Andaman & Nicobar,2018,4,south andaman district,20136,75411840.8,TOTAL
11,Andaman & Nicobar,2018,4,nicobars district,1485,7180859.355,TOTAL
12,Andaman & Nicobar,2019,1,north and middle andaman district,3264,9561708.736,TOTAL
13,Andaman & Nicobar,2019,1,south andaman district,25683,85501972.39,TOTAL
14,Andaman & Nicobar,2019,1,nicobars district,1539,7236059.549,TOTAL
15,Andaman & Nicobar,2019,2,north and middle andaman district,3371,8612103.138,TOTAL
16,Andaman & Nicobar,2019,2,south andaman district,28490,102530955.7,TOTAL
17,Andaman & Nicobar,2019,2,nicobars district,1828,9111650.824,TOTAL
18,Andaman & Nicobar,2019,3,north and middle andaman district,4049,11481466.28,TOTAL
19,Andaman & Nicobar,2019,3,south andaman district,27421,91023888.33,TOTAL
20,Andaman & Nicobar,2019,3,nicobars district,2300,11566421.48,TOTAL
21,Andaman & Nicobar,2019,4,north and middle andaman district,4716,13524056.78,TOTAL
22,Andaman & Nicobar,2019,4,south andaman district,27843,110930312.2,TOTAL
23,Andaman & Nicobar,2019,4,nicobars district,2600,12384161.53,TOTAL
24,Andaman & Nicobar,2020,1,north and middle andaman district,5674,14697371.62,TOTAL
25,Andaman & Nicobar,2020,1,south andaman district,32713,134679396.9,TOTAL
26,Andaman & Nicobar,2020,1,nicobars district,2911,12099543.77,TOTAL
27,Andaman & Nicobar,2020,2,north and middle andaman district,10979,22447714.06,TOTAL
28,Andaman & Nicobar,2020,2,south andaman district,48088,132855778.7,TOTAL
29,Andaman & Nicobar,2020,2,nicobars district,3895,14341508.6,TOTAL
30,Andaman & Nicobar,2020,3,north and middle andaman district,16747,33486883.37,TOTAL
31,Andaman & Nicobar,2020,3,south andaman district,95323,282366109.2,TOTAL
32,Andaman & Nicobar,2020,3,nicobars district,5413,22166453.75,TOTAL
33,Andaman & Nicobar,2020,4,north and middle andaman district,29349,68941322.39,TOTAL
34,Andaman & Nicobar,2020,4,south andaman district,186494,523122462.9,TOTAL
35,Andaman & Nicobar,2020,4,nicobars district,8688,35218871.04,TOTAL
36,Andaman & Nicobar,2021,1,north and middle andaman district,27358,75027255.28,TOTAL
37,Andaman & Nicobar,2021,1,south andaman district,207092,669604045.1,TOTAL
38,Andaman & Nicobar,2021,1,nicobars district,10302,39075266.99,TOTAL
39,Andaman & Nicobar,2021,2,north and middle andaman district,39200,90233388.79,TOTAL
40,Andaman & Nicobar,2021,2,south andaman district,286907,760893020.6,TOTAL
41,Andaman & Nicobar,2021,2,nicobars district,15307,48020606.75,TOTAL
42,Andaman & Nicobar,2021,3,north and middle andaman district,46592,118254865.8,TOTAL
43,Andaman & Nicobar,2021,3,south andaman district,382418,1116789011,TOTAL
44,Andaman & Nicobar,2021,3,nicobars district,20754,74980519.33,TOTAL
45,Andaman & Nicobar,2021,4,north and middle andaman district,53115,156486112.3,TOTAL
46,Andaman & Nicobar,2021,4,south andaman district,558571,1694794708,TOTAL
47,Andaman & Nicobar,2021,4,nicobars district,24437,81329281.03,TOTAL
48,Andaman & Nicobar,2022,1,north and middle andaman district,60059,161624878.5,TOTAL
49,Andaman & Nicobar,2022,1,south andaman district,705512,1872991196,TOTAL
50,Andaman & Nicobar,2022,1,nicobars district,29177,94414127.65,TOTAL
51,Andaman & Nicobar,2022,2,north and middle andaman district,72573,195693167.8,TOTAL
52,Andaman & Nicobar,2022,2,south andaman district,954875,2357326563,TOTAL
53,Andaman & Nicobar,2022,2,nicobars district,43769,132900618.9,TOTAL
54,Andaman & Nicobar,2022,3,north and middle andaman district,79574,211581970.3,TOTAL
55,Andaman & Nicobar,2022,3,south andaman district,1455255,2967719401,TOTAL
56,Andaman & Nicobar,2022,3,nicobars district,49550,131330400.9,TOTAL
57,Andaman & Nicobar,2022,4,north and middle andaman district,93297,241431284.4,TOTAL
58,Andaman & Nicobar,2022,4,south andaman district,1835592,3600887266,TOTAL
59,Andaman & Nicobar,2022,4,nicobars district,58646,142355854,TOTAL
60,Andhra Pradesh,2018,1,east godavari district,943935,1235785516,TOTAL
61,Andhra Pradesh,2018,1,srikakulam district,458921,587778028.9,TOTAL
62,Andhra Pradesh,2018,1,spsr nellore district,531612,676643237.8,TOTAL
63,Andhra Pradesh,2018,1,vizianagaram district,420990,505783445.8,TOTAL
64,Andhra Pradesh,2018,1,visakhapatnam district,1256469,1749966197,TOTAL
65,Andhra Pradesh,2018,1,prakasam district,534757,748990775.9,TOTAL
66,Andhra Pradesh,2018,1,anantapur district,638664,788830646,TOTAL
67,Andhra Pradesh,2018,1,ysr district,487333,681481931.1,TOTAL
68,Andhra Pradesh,2018,1,west godavari district,577090,853547668.8,TOTAL
69,Andhra Pradesh,2018,1,kurnool district,679623,764905298.7,TOTAL
70,Andhra Pradesh,2018,1,chittoor district,830324,1009621878,TOTAL
71,Andhra Pradesh,2018,1,guntur district,815932,1108686589,TOTAL
72,Andhra Pradesh,2018,1,krishna district,863935,1284255180,TOTAL
73,Andhra Pradesh,2018,2,east godavari district,1221677,2168914928,TOTAL
74,Andhra Pradesh,2018,2,srikakulam district,559868,929392017.4,TOTAL
75,Andhra Pradesh,2018,2,spsr nellore district,780454,1542057934,TOTAL
76,Andhra Pradesh,2018,2,vizianagaram district,529588,811711367.5,TOTAL
77,Andhra Pradesh,2018,2,visakhapatnam district,1641192,2987853607,TOTAL
78,Andhra Pradesh,2018,2,prakasam district,739991,1571167562,TOTAL
79,Andhra Pradesh,2018,2,anantapur district,937023,1690366079,TOTAL
80,Andhra Pradesh,2018,2,ysr district,690842,1415500368,TOTAL
81,Andhra Pradesh,2018,2,west godavari district,786033,1688025212,TOTAL
82,Andhra Pradesh,2018,2,kurnool district,968439,1531888666,TOTAL
83,Andhra Pradesh,2018,2,chittoor district,1185723,1990419126,TOTAL
84,Andhra Pradesh,2018,2,guntur district,1088101,2108475812,TOTAL
85,Andhra Pradesh,2018,2,krishna district,1224987,2448141593,TOTAL
86,Andhra Pradesh,2018,3,east godavari district,3226907,3551247095,TOTAL
87,Andhra Pradesh,2018,3,srikakulam district,1073883,1318322237,TOTAL
88,Andhra Pradesh,2018,3,spsr nellore district,1308890,2215938596,TOTAL
89,Andhra Pradesh,2018,3,vizianagaram district,970132,1163546007,TOTAL
90,Andhra Pradesh,2018,3,visakhapatnam district,3394576,4821892253,TOTAL
91,Andhra Pradesh,2018,3,prakasam district,1319651,2346453445,TOTAL
92,Andhra Pradesh,2018,3,anantapur district,1815215,2681787750,TOTAL
93,Andhra Pradesh,2018,3,ysr district,1557444,2235904512,TOTAL
94,Andhra Pradesh,2018,3,west godavari district,1431282,2309078493,TOTAL
