,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Transaction_type
0,Andaman & Nicobar,2018,1,744101,1622,2769297.904,TOTAL
1,Andaman & Nicobar,2018,1,744103,1223,2238041.872,TOTAL
2,Andaman & Nicobar,2018,1,744102,969,3519059.938,TOTAL
3,Andaman & Nicobar,2018,1,744105,685,1298560.952,TOTAL
4,Andaman & Nicobar,2018,1,744104,340,1039715.311,TOTAL
5,Andaman & Nicobar,2018,1,744107,302,556059.5309,TOTAL
6,Andaman & Nicobar,2018,1,744301,283,445739.1634,TOTAL
7,Andaman & Nicobar,2018,1,744112,269,333709.567,TOTAL
8,Andaman & Nicobar,2018,1,744202,193,238914.0167,TOTAL
9,Andaman & Nicobar,2018,1,744302,168,547469.6509,TOTAL
10,Andaman & Nicobar,2018,2,744101,2701,6310089.917,TOTAL
11,Andaman & Nicobar,2018,2,744103,1965,4752146.699,TOTAL
12,Andaman & Nicobar,2018,2,744102,1525,5810267.575,TOTAL
13,Andaman & Nicobar,2018,2,744105,997,2200332.972,TOTAL
14,Andaman & Nicobar,2018,2,744301,767,1953749.379,TOTAL
15,Andaman & Nicobar,2018,2,744104,659,1650346.191,TOTAL
16,Andaman & Nicobar,2018,2,744107,594,1601569.982,TOTAL
17,Andaman & Nicobar,2018,2,744112,432,578829.1795,TOTAL
18,Andaman & Nicobar,2018,2,744202,405,626523.9803,TOTAL
19,Andaman & Nicobar,2018,2,744302,291,1026590.074,TOTAL
20,Andaman & Nicobar,2018,3,744101,3462,10833893.44,TOTAL
21,Andaman & Nicobar,2018,3,744103,3182,10184154.36,TOTAL
22,Andaman & Nicobar,2018,3,744102,2224,10365275.48,TOTAL
23,Andaman & Nicobar,2018,3,744105,1613,5152534.08,TOTAL
24,Andaman & Nicobar,2018,3,744104,1029,2588077.687,TOTAL
25,Andaman & Nicobar,2018,3,744301,975,4256576.35,TOTAL
26,Andaman & Nicobar,2018,3,744112,579,1145815.78,TOTAL
27,Andaman & Nicobar,2018,3,744107,547,1492405.303,TOTAL
28,Andaman & Nicobar,2018,3,744302,417,1976781.92,TOTAL
29,Andaman & Nicobar,2018,3,744202,341,2099404.079,TOTAL
30,Andaman & Nicobar,2018,4,744101,4674,16392855.28,TOTAL
